Wall time,Step,Value,Smoothed_Value
1733410871.9969091,9,0.0,0.0
1733411051.9689405,11,0.0,0.0
1733411501.666162,16,0.0,0.0
1733411540.64453,17,0.0,0.0
1733411605.5199444,18,0.0,0.0
1733414124.620813,37,0.0,0.0
1733415194.1651697,44,0.0,0.0
1733415298.659354,45,0.0,0.0
1733415534.8364544,46,0.0,0.0
1733415603.537096,48,0.0,0.0
1733415804.2643008,49,0.0,0.0
1733415959.70937,52,0.0,0.0
1733416285.5378084,55,0.0,0.0
1733416518.8668206,58,0.0,0.0
1733417353.2235482,70,0.0,0.0
1733417775.503658,76,0.0,0.0
1733418857.2475328,85,0.0,0.0
1733419701.8387797,93,0.0,0.0
1733419870.642583,95,0.0,0.0
1733420647.3776467,105,0.0,0.0
1733420873.0307305,109,0.0,0.0
1733421296.7360177,114,0.0,0.0
1733422066.381477,126,0.0,0.0
1733422325.8073804,130,0.0,0.0
1733422346.1029532,131,0.0,0.0
1733422899.2682066,138,0.0,0.0
1733423296.9544888,140,0.0,0.0
1733423562.5354688,144,0.0,0.0
1733423733.159976,146,0.0,0.0
1733424433.5723965,152,0.0,0.0
1733424482.976262,153,0.0,0.0
1733424488.2246337,154,0.0,0.0
1733424759.9364111,157,0.0,0.0
1733425471.4744031,161,0.0,0.0
1733426427.453895,172,0.0,0.0
1733427696.522894,183,0.0,0.0
1733428968.4266896,194,0.0,0.0
1733428984.0158503,195,0.0,0.0
1733429013.3534672,196,0.0,0.0
1733429039.8743775,197,0.0,0.0
1733429954.2533262,202,0.0,0.0
1733430653.7977967,209,0.0,0.0
1733431132.9182303,219,0.0,0.0
1733431270.2722826,221,0.0,0.0
1733431486.997337,225,0.0,0.0
1733432352.4522717,227,0.0,0.0
1733432493.3910463,230,0.0,0.0
1733433246.7367566,239,0.0,0.0
1733433620.4199228,245,0.0,0.0
1733433625.6144326,246,0.0,0.0
1733434309.9118445,256,0.0,0.0
1733434625.1895905,260,0.0,0.0
1733434766.5226743,263,0.0,0.0
